"region";"spp_name";"latin_name";"rfmo";"rfmo_stock_id";"x3a_code";"worms_aphia_id";"fides_area";"area";"area_bis";"tac_area_description";"comments";"latin_name_join"
"38";"North Sea and Eastern Arctic";"Greenland halibut";"Reinhardtius hippoglossoides";"ICES";NA;"GHL";"127144";"1/2INT";"1, 2";"27_1,27_2";"I-II (International waters)";"FIDES match";"Reinhardtius hippoglossoides"
"39";"North Sea and Eastern Arctic";"Salmon";"Salmo salar";"ICES";NA;"SAL";"127186";"No TAC";"1, 2";"27_1,27_2";"";"";"Salmo salar"
"40";"North Sea and Eastern Arctic";"Sea trout";"Salmo trutta";"ICES";NA;"TRS";"127187";"No TAC";"1, 2";"27_1,27_2";"";"";"Salmo trutta"
"41";"North Sea and Eastern Arctic";"Mackerel";"Scomber scombrus";"ICES";NA;"MAC";"127023";"2A34.";"2";"27_2";"IIa";"FIDES match (area <)";"Scomber scombrus"
"42";"North Sea and Eastern Arctic";"Beaked redfish";"Sebastes mentella";"ICES";NA;"REB";"127254";"1N2AB.";"1, 2";"27_1,27_2";"";"FIDES match";"Sebastes mentella"
"43";"North Sea and Eastern Arctic";"Golden Redfish";"Sebastes norvegicus";"ICES";NA;"REG";"151324";"No TAC";"1, 2";"27_1,27_2";"NEAFC Stock - catches not from the stock that is subject to NEAFC management mesures";"";"Sebastes norvegicus"
"44";"North Sea and Eastern Arctic";"Picked dogfish";"Squalus acanthias";"ICES";NA;"DGS";"105923";"15X14";"all areas";"27_4,27_7_D";"";"FIDES match";"Squalus acanthias"
"45";"North Sea and Eastern Arctic";"Horse mackerel";"Trachurus trachurus";"ICES";NA;"JAX";"126822";"2A-14";"2a";"27_2_A";"NEAFC Stock - catches not from the stock that is subject to NEAFC management mesures";"FIDES match (area <)";"Trachurus trachurus"
"46";"North Sea and Eastern Arctic";"Sand eel";"Ammodytidae";"ICES";NA;"SAN";"125516";"2A3A4.";"3a, 4";"27_3_A,27_4";"IIIa,   EC waters of IIa and IV";"FIDES match";"Ammodytidae"
"47";"North Sea and Eastern Arctic";"Catfish";"Anarhichas spp.";"ICES";NA;"CAA, CAB, CAS, CAT";"171002000101, 171002000102, 171002000103";"No TAC";"4";"27_4";"";"";"Anarhichas lupus, Anarhichas denticulatus, Anarhichas minor, Anarhichas, Anarhichas spp"
"48";"North Sea and Eastern Arctic";"European Eel";"Anguilla anguilla";"ICES";NA;"ELE";"126281";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"Anguilla anguilla"
"49";"North Sea and Eastern Arctic";"Greater silver smelt";"Argentina silus";"ICES";NA;"ARU";"126715";"3A4-C";"3a, 4";"27_3_A,27_4";"";"FIDES match";"Argentina silus"
"50";"North Sea and Eastern Arctic";"Argentine";"Argentina spp.";"ICES";NA;"ARE, ARO, ARU, ARY, ARG";"123005001501, 123005001502, 123005001503, 123005001504";"No TAC";"4";"27_4";"";"";"Argentina elongata, Argentina kagoshimae, Argentina silus, Argentina sphyraena, Argentina, Argentina spp"
"51";"North Sea and Eastern Arctic";"Red gurnard";"Aspitrigla cuculus";"ICES";NA;"GUR";"150662";"No TAC";"3a";"27_3_A";"";"";"Aspitrigla cuculus"
"52";"North Sea and Eastern Arctic";"Tusk";"Brosme brosme";"ICES";NA;"USK";"126447";"03A.,04-C.,04-N.";"3a, 4";"27_3_A,27_4";"EU waters of IV";"FIDES match";"Brosme brosme"
"53";"North Sea and Eastern Arctic";"Herring";"Clupea harengus";"ICES";NA;"HER";"126417";"03A.,03A-BC,2A47DX,4AB.,4CXB7D";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"FIDES match";"Clupea harengus"
"54";"North Sea and Eastern Arctic";"Roundnose grenadier";"Coryphaenoides rupestris";"ICES";NA;"RNG";"158960";"03-";"3a";"27_3_A";"EU and international waters of III";"FIDES match";"Coryphaenoides rupestris"
"55";"North Sea and Eastern Arctic";"Common Shrimp";"Crangon crangon";"ICES";NA;"CSH";"107552";"No TAC";"4, 7d";"27_4,27_7_D";"";"";"Crangon crangon"
"56";"North Sea and Eastern Arctic";"Sea bass";"Dicentrarchus labrax";"ICES";NA;"BSS";"126975";"No TAC";"4, 7d";"27_4,27_7_D";"";"";"Dicentrarchus labrax"
"57";"North Sea and Eastern Arctic";"Grey gurnard";"Eutrigla gurnardus";"ICES";NA;"GUG";"150637";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"Eutrigla gurnardus"
"58";"North Sea and Eastern Arctic";"Cod";"Gadus morhua";"ICES";NA;"COD";"126436";"03AN.";"3aN";"27_3_A-4_AB_NK";"Skagerrak (Division IIIa)";"FIDES match ";"Gadus morhua"
"59";"North Sea and Eastern Arctic";"Cod";"Gadus morhua";"ICES";NA;"COD";"126436";"03AS.";"3aS";"27_3_A";"Kattegat (Division IIIa)";"FIDES match";"Gadus morhua"
"60";"North Sea and Eastern Arctic";"Cod";"Gadus morhua";"ICES";NA;"COD";"126436";"2A3AX4,07D.";"4, 7d";"27_4,27_7_D";"IV,   EC waters of Iia,   that part of IIIa not covered by the Skagerrak and the Kattegat, ICES division VIId - Eastern Channel";"FIDES match";"Gadus morhua"
"61";"North Sea and Eastern Arctic";"Tope";"Galeorhinus galeus";"ICES";NA;"GAG";"105820";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"Galeorhinus galeus"
"62";"North Sea and Eastern Arctic";"Witch flounder";"Glyptocephalus cynoglossus";"ICES";NA;"WIT,L/W";"127136";"2AC4-C";"3a, 4";"27_3_A,27_4";"";"FIDES match but difference with area";"Glyptocephalus cynoglossus"
"63";"North Sea and Eastern Arctic";"Blue-mouth rockfish";"Helicolenus dactylopterus";"ICES";NA;"BRF";"127251";"No TAC";"4";"27_4";"";"FIDES code stands for both Microstomus kitt and Glyptocephalus cynoglossus";"Helicolenus dactylopterus"
"64";"North Sea and Eastern Arctic";"Four-spot megrim";"Lepidorhombus boscii";"ICES";NA;"LDB";"127145";"No TAC";"4, 7d";"27_4,27_7_D";"EC waters of IIa) and IV";"";"Lepidorhombus boscii"
"65";"North Sea and Eastern Arctic";"Megrim";"Lepidorhombus whiffiagonis";"ICES";NA;"MEG";"127146";"No TAC";"4, 7d";"27_4,27_7_D";"EC waters of IIa) and IV";"";"Lepidorhombus whiffiagonis"
"66";"North Sea and Eastern Arctic";"Megrim";"Lepidorhombus spp.";"ICES";NA;"MEG, LDB, LEZ";"183005000301, 183005000302";"2AC4-C";"4, 7d";"27_4,27_7_D";"EC waters of IIa) and IV";"FIDES match (area <)�; added row for information at gender level";"Lepidorhombus whiffiagonis, Lepidorhombus boscii, Lepidorhombus, Lepidorhombus spp"
"67";"North Sea and Eastern Arctic";"Cuckoo ray";"Leucoraja naevus";"ICES";NA;"RJN";"105876";"03A-C.,2AC4-C";"3a, 4";"27_3_A,27_4";"";"FIDES match (area <)";"Leucoraja naevus"
"68";"North Sea and Eastern Arctic";"Dab";"Limanda limanda";"ICES";NA;"DAB";"127139";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"Limanda limanda"
"69";"North Sea and Eastern Arctic";"Black-bellied angler";"Lophius budegassa";"ICES";NA;"ANK";"126554";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"FIDES match (area <)";"Lophius budegassa"
"70";"North Sea and Eastern Arctic";"Anglerfish";"Lophius piscatorius";"ICES";NA;"MON";"126555";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"FIDES match (area <)";"Lophius piscatorius"
"71";"North Sea and Eastern Arctic";"Anglerfish";"Lophius spp.";"ICES";NA;"MON, ANK, ANG, MVA, MVO, MVJ, MVN, MNZ";"195001000101, 195001000102, 195001000103, 195001000105, 195001000106, 195001000107, 195001000108";"2AC4-C,04-N.";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"Extra row with MNZ standing for Lophius spp. and FIDES code standing for lophiidae";"Lophius piscatorius, Lophius budegassa, Lophius americanus, Lophius vaillanti, Lophius vomerinus, Lophius gastrophysus, Lophius litulon, Lophius, Lophius spp"
"72";"North Sea and Eastern Arctic";"Roughhead grenadier";"Macrourus berglax";"ICES";NA;"RHG";"126472";"No TAC";"4";"27_4";"EU and international waters of I-II and IV";"";"Macrourus berglax"
"73";"North Sea and Eastern Arctic";"Haddock";"Melanogrammus aeglefinus";"ICES";NA;"HAD";"126437";"03A.,2AC4.";"3a, 4";"27_3_A,27_4";"IIIa) and EU waters of IIIbcd";"FIDES match (area <)";"Melanogrammus aeglefinus"
"74";"North Sea and Eastern Arctic";"Whiting";"Merlangius merlangus";"ICES";NA;"WHG";"126438";"03A.,2AC4.";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"FIDES match (area <)";"Merlangius merlangus"
"75";"North Sea and Eastern Arctic";"Hake";"Merluccius merluccius";"ICES";NA;"HKE";"126484";"03A.,2AC4.";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"EC waters of IIa) and IV";"FIDES match (area <)";"Merluccius merluccius"
"76";"North Sea and Eastern Arctic";"Blue whiting";"Micromesistius poutassou";"ICES";NA;"WHB";"126439";"1X14";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"FIDES match (area <)";"Micromesistius poutassou"
"77";"North Sea and Eastern Arctic";"Lemon sole";"Microstomus kitt";"ICES";NA;"LEM,L/W";"127140";"2AC4-C";"4, 7d";"27_4,27_7_D";"";"FIDES code stands for both Microstomus kitt and Glyptocephalus cynoglossus";"Microstomus kitt"
"78";"North Sea and Eastern Arctic";"Blue ling";"Molva dypterygia";"ICES";NA;"BLI";"126459";"03A-,24-";"3a, 4";"27_3_A,27_4";"EU and international waters of II and IV";"FIDES match but difference with area";"Molva dypterygia"
"79";"North Sea and Eastern Arctic";"Ling";"Molva molva";"ICES";NA;"LIN";"126461";"03A-C.,04-C.,04-N.";"3a, 4";"27_3_A,27_4";"EU waters of IV";"FIDES match";"Molva molva"
"80";"North Sea and Eastern Arctic";"Red mullet";"Mullus barbatus";"ICES";NA;"MUT";"126985";"No TAC";"4, 7d";"27_4,27_7_D";"";"";"Mullus barbatus"
"81";"North Sea and Eastern Arctic";"Striped red mullet";"Mullus surmuletus";"ICES";NA;"MUR";"126986";"No TAC";"4, 7d";"27_4,27_7_D";"";"";"Mullus surmuletus"
"82";"North Sea and Eastern Arctic";"Smooth-hound";"Mustelus spp.";"ICES";NA;"CTU, CTN, CTI, CTD, CTF, CTE, CTK, CTJ, MTL, MUU, MTZ, SDP, SMD, MTR, SDS, MTE, MTM, MUP, MPT, MUW, SDV";"108006000701, 108006000702, 108006000703, 108006000704, 108006000705, 108006000706, 108006000707, 108006000708, 108006000709, 108006000710, 108006000711, 108006000712, 108006000713, 108006000714, 108006000715, 108006000716, 108006000717, 108006000718, 108006000720, 108006000721";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"Mustelus antarcticus, Mustelus californicus, Mustelus canis, Mustelus dorsalis, Mustelus fasciatus, Mustelus griseus, Mustelus henlei, Mustelus higmani, Mustelus lenticulatus, Mustelus lunulatus, Mustelus manazo, Mustelus schmitti, Mustelus mustelus, Mustelus norrisi, Mustelus asterias, Mustelus mento, Mustelus mosis, Mustelus palumbes, Mustelus punctulatus, Mustelus whitneyi, Mustelus, Mustelus spp"
"83";"North Sea and Eastern Arctic";"Norway lobster";"Nephrops norvegicus";"ICES";NA;"NEP";"107254";"03A.,04-N.,2AC4-C";"3a, 4 and 2a Union waters";"27_2_A,27_3_A,27_4";"IIIa) and EU waters of IIIbcd";"FIDES match";"Nephrops norvegicus"
"84";"North Sea and Eastern Arctic";"Northern shrimp";"Pandalus borealis";"ICES";NA;"PRA";"107649";"03A.,2AC4-C";"3a, 4 and 2a Union waters";"27_3_A,27_4,27_2_A";"IIIa)";"FIDES match";"Pandalus borealis"
"85";"North Sea and Eastern Arctic";"Northern shrimp";"Pandalus borealis";"ICES";NA;"PRA";"107649";"4N-S62";"4 Norwegian waters south of 62N";"27_4";"EC waters of IIa) and IV";"FIDES match";"Pandalus borealis"
"86";"North Sea and Eastern Arctic";"Common scallop";"Pecten maximus";"ICES";NA;"SCE";"140712";"No TAC";"4, 7d";"27_4,27_7_D";"";"";"Pecten maximus"
"87";"North Sea and Eastern Arctic";"Greater Forkbeard";"Phycis blennoides";"ICES";NA;"GFB";"126501";"No TAC";"4";"27_4";"EU and international waters of I-II,  III and IV";"";"Phycis blennoides"
"88";"North Sea and Eastern Arctic";"Forkbeard";"Phycis phycis";"ICES";NA;"FOR";"126502";"No TAC";"4";"27_4";"";"";"Phycis phycis"
"89";"North Sea and Eastern Arctic";"Flounder";"Platichthys flesus";"ICES";NA;"FLE";"127141";"No TAC";"4";"27_4";"EC waters of IIa) and IV";"";"Platichthys flesus"
"90";"North Sea and Eastern Arctic";"Plaice";"Pleuronectes platessa";"ICES";NA;"PLE";"127143";"03AN.";"3aN";"27_3_A_20";"Skagerrak (Division IIIa), Kattegat (Division IIIa)";"FIDES match";"Pleuronectes platessa"
"91";"North Sea and Eastern Arctic";"Plaice";"Pleuronectes platessa";"ICES";NA;"PLE";"127143";"03AS.";"3aS";"27_3_A_21";"";"FIDES match";"Pleuronectes platessa"
"92";"North Sea and Eastern Arctic";"Plaice";"Pleuronectes platessa";"ICES";NA;"PLE";"127143";"2A3AX4,7DE.";"4, 7d";"27_4,27_7_D";"IV,  EC waters of Iia,   that part of IIIa not covered by the Skagerrak and the Kattegat";"FIDES match but difference with area";"Pleuronectes platessa"
"93";"North Sea and Eastern Arctic";"Saithe";"Pollachius virens";"ICES";NA;"POK";"126441";"2C3A4";"3a, 4";"27_3_A,27_4";"EU waters of IV and in IIIa";"FIDES match but difference with area";"Pollachius virens"
"94";"North Sea and Eastern Arctic";"Turbot";"Scophthalmus maximus";"ICES";NA;"TUR";"127149";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"EC waters of IIa) and IV";"";"Scophthalmus maximus"
"95";"North Sea and Eastern Arctic";"Blonde ray";"Raja brachyura";"ICES";NA;"RJH";"105882";"07D.,2AC4-C";"4a, 4c, 7d";"27_4_A,27_4_C,27_7_D";"";"FIDES match";"Raja brachyura"
"96";"North Sea and Eastern Arctic";"Thornback ray";"Raja clavata";"ICES";NA;"RJC";"105883";"07D.,2AC4-C,03A-C";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"FIDES match but difference with area";"Raja clavata"
"97";"North Sea and Eastern Arctic";"Small-eyed ray";"Raja microocellata";"ICES";NA;"RJE";"105885";"07D.";"7d";"27_7_D";"";"FIDES match";"Raja microocellata"
"98";"North Sea and Eastern Arctic";"Spotted ray";"Raja montagui";"ICES";NA;"RJM";"105887";"07D.,03A-C.,2AC4-C";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"FIDES match but difference with area";"Raja montagui"
"99";"North Sea and Eastern Arctic";"Undulate ray";"Raja undulata";"ICES";NA;"RJU";"105891";"07DE.";"7d";"27_7_D";"";"FIDES match";"Raja undulata"
