"region";"spp_name";"latin_name";"rfmo";"rfmo_stock_id";"x3a_code";"fides_area";"area";"area_bis";"tac_area_description";"comments";"X";"X.1";"area_rdb"
"36";"North Sea and Eastern Arctic";"Northern shrimp";"Pandalus borealis";"ICES";NA;"PRA";"2AC4-C";"1, 2";"27_1,27_2";"EC waters of IIa) and IV";"FIDES match but difference with area";NA;NA;"27.1,27.1.a,27.1.b27.2,27.2.a,27.2.b,27.2.a.2,27.2.b.2,27.2.a.1,27.2.b.1"
"37";"North Sea and Eastern Arctic";"Saithe";"Pollachius virens";"ICES";NA;"POK";"1/2INT,1N2AB.";"1, 2";"27_1,27_2";"I-II (International waters)";"FIDES match";NA;NA;"27.1,27.1.a,27.1.b27.2,27.2.a,27.2.b,27.2.a.2,27.2.b.2,27.2.a.1,27.2.b.1"
"38";"North Sea and Eastern Arctic";"Greenland halibut";"Reinhardtius hippoglossoides";"ICES";NA;"GHL";"1/2INT";"1, 2";"27_1,27_2";"I-II (International waters)";"FIDES match";NA;NA;"27.1,27.1.a,27.1.b27.2,27.2.a,27.2.b,27.2.a.2,27.2.b.2,27.2.a.1,27.2.b.1"
"39";"North Sea and Eastern Arctic";"Salmon";"Salmo salar";"ICES";NA;"SAL";"No TAC";"1, 2";"27_1,27_2";"";"";NA;NA;"27.1,27.1.a,27.1.b27.2,27.2.a,27.2.b,27.2.a.2,27.2.b.2,27.2.a.1,27.2.b.1"
"40";"North Sea and Eastern Arctic";"Sea trout";"Salmo trutta";"ICES";NA;"TRS";"No TAC";"1, 2";"27_1,27_2";"";"";NA;NA;"27.1,27.1.a,27.1.b27.2,27.2.a,27.2.b,27.2.a.2,27.2.b.2,27.2.a.1,27.2.b.1"
"41";"North Sea and Eastern Arctic";"Mackerel";"Scomber scombrus";"ICES";NA;"MAC";"2A34.";"2";"27_2";"IIa";"FIDES match (area <)";NA;NA;"27.2,27.2.a,27.2.b,27.2.a.2,27.2.b.2,27.2.a.1,27.2.b.1"
"42";"North Sea and Eastern Arctic";"Beaked redfish";"Sebastes mentella";"ICES";NA;"REB";"1N2AB.";"1, 2";"27_1,27_2";"";"FIDES match";NA;NA;"27.1,27.1.a,27.1.b27.2,27.2.a,27.2.b,27.2.a.2,27.2.b.2,27.2.a.1,27.2.b.1"
"43";"North Sea and Eastern Arctic";"Golden Redfish";"Sebastes norvegicus";"ICES";NA;"REG";"No TAC";"1, 2";"27_1,27_2";"NEAFC Stock - catches not from the stock that is subject to NEAFC management mesures";"";NA;NA;"27.1,27.1.a,27.1.b27.2,27.2.a,27.2.b,27.2.a.2,27.2.b.2,27.2.a.1,27.2.b.1"
"44";"North Sea and Eastern Arctic";"Picked dogfish";"Squalus acanthias";"ICES";NA;"DGS";"15X14";"all areas";"27_4,27_7_D";"";"FIDES match";NA;NA;"27.4,27.4.a,27.4.b,27.4.c,27.4.a.w,27.4.a.e,27.4.b.e,27.4.b.w27.7.d"
"45";"North Sea and Eastern Arctic";"Horse mackerel";"Trachurus trachurus";"ICES";NA;"JAX";"2A-14";"2a";"27_2_A";"NEAFC Stock - catches not from the stock that is subject to NEAFC management mesures";"FIDES match (area <)";NA;NA;"27.2.a,27.2.a.2,27.2.a.1"
