"region";"spp_name";"latin_name";"rfmo";"rfmo_stock_id";"x3a_code";"fides_area";"area";"area_bis";"tac_area_description";"comments";;
"North Sea and Eastern Arctic";"Witch flounder";"Glyptocephalus cynoglossus";"ICES";;"WIT,L/W";"2AC4-C";"3a, 4";"27_3_A,27_4";;"FIDES match but difference with area";;
"North Sea and Eastern Arctic";"Blue-mouth rockfish";"Helicolenus dactylopterus";"ICES";;"BRF";"No TAC";4;"27_4";;"FIDES code stands for both Microstomus kitt and Glyptocephalus cynoglossus";;
"North Sea and Eastern Arctic";"Four-spot megrim";"Lepidorhombus boscii";"ICES";;"LDB";"No TAC";"4, 7d";"27_4,27_7_D";"EC waters of IIa) and IV";;;
"North Sea and Eastern Arctic";"Megrim";"Lepidorhombus whiffiagonis";"ICES";;"MEG";"No TAC";"4, 7d";"27_4,27_7_D";"EC waters of IIa) and IV";;;
"North Sea and Eastern Arctic";"Megrim";"Lepidorhombus spp.";"ICES";;"LEZ";"2AC4-C";"4, 7d";"27_4,27_7_D";"EC waters of IIa) and IV";"FIDES match (area <)�; added row for information at gender level";;
"North Sea and Eastern Arctic";"Cuckoo ray";"Leucoraja naevus";"ICES";;"RJN";"03A-C.,2AC4-C";"3a, 4";"27_3_A,27_4";;"FIDES match (area <)";;
"North Sea and Eastern Arctic";"Dab";"Limanda limanda";"ICES";;"DAB";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";;;;
"North Sea and Eastern Arctic";"Black-bellied angler";"Lophius budegassa";"ICES";;"ANK";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";;"FIDES match (area <)";;
"North Sea and Eastern Arctic";"Anglerfish";"Lophius piscatorius";"ICES";;"MON";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";;"FIDES match (area <)";;
"North Sea and Eastern Arctic";"Anglerfish";"Lophius spp.";"ICES";;"ANF,MNZ";"2AC4-C,04-N.";"3a, 4, 7d";"27_3_A,27_4,27_7_D";;"Extra row with MNZ standing for Lophius spp. and FIDES code standing for lophiidae";;
