"region";"spp_name";"latin_name";"rfmo";"rfmo_stock_id";"x3a_code";"worms_aphia_id";"fides_area";"area";"area_bis";"tac_area_description";"comments";"latin_name_join";"area_rdb";"include_in_table_2.1";"comments_dev";"area_rdbes"
"22";"Baltic Sea";"Sprat";"Sprattus sprattus";"ICES";NA;"SPR";"126425";"3BCD-C";"22-32";"27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32";"";"FIDES match";"Sprattus sprattus";"27.3.c.22,27.3.b.23,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32";"yes";"";"27.3.c.22,27.3.b.23,27.3.d.24,27.3.d.25,27.3.d.26,27.3.d.27,27.3.d.28,27.3.d.28.1,27.3.d.28.2,27.3.d.29,27.3.d.30,27.3.d.31,27.3.d.32"
"319";"Mediterranean and Black Sea";"Pontic shad";"Alosa immaculata";"GFCM";NA;"SHC";"272251";"No TAC";"GSAs 28-29";"37_4_1,37_4_2";"";"";"Alosa immaculata";"37_4_1,37_4_2";"yes";"";"37.4.1,37.4.2"
"320";"Mediterranean and Black Sea";"European Eel";"Anguilla anguilla";"GFCM";NA;"ELE";"126281";"No TAC";"GSAs 1-27";"37_1_1,37_1_2,37_1_3,37_2_1,37_2_2,37_3_1,37_3_2";"";"";"Anguilla anguilla";"37_1_1,37_1_2,37_1_3,37_2_1,37_2_2,37_3_1,37_3_2";"yes";"";"37.1.1,37.1.2,37.1.3,37.2.1,37.2.2,37.3.1,37.3.2"
"321";"Mediterranean and Black Sea";"Transparent gobid";"Aphia minuta";"GFCM";NA;"FIM";"126868";"No TAC";"GSAs 9, 10, 16, 19";"37_1_3,37_2_2";"";"";"Aphia minuta";"37_1_3,37_2_2";"yes";"";"37.1.3,37.2.2"
"322";"Mediterranean and Black Sea";"Giant red shrimp";"Aristaeomorpha foliacea";"GFCM";NA;"ARS";"158326";"No TAC";"GSAs 1-16, 19-27";"37_1_1,37_1_2,37_1_3,37_2_2,37_3_1,37_3_2";"";"";"Aristaeomorpha foliacea";"37_1_1,37_1_2,37_1_3,37_2_2,37_3_1,37_3_2";"yes";"";"37.1.1,37.1.2,37.1.3,37.2.2,37.3.1,37.3.2"
"323";"Mediterranean and Black Sea";"Red shrimp";"Aristeus antennatus";"GFCM";NA;"ARA";"107083";"No TAC";"GSAs 1-16, 19-27";"37_1_1,37_1_2,37_1_3,37_2_2,37_3_1,37_3_2";"";"";"Aristeus antennatus";"37_1_1,37_1_2,37_1_3,37_2_2,37_3_1,37_3_2";"yes";"";"37.1.1,37.1.2,37.1.3,37.2.2,37.3.1,37.3.2"
"324";"Mediterranean and Black Sea";"Sand smelt";"Atherina boyeri, Atherina hepsetus, Atherina presbyter, Atherina breviceps, Atherina lopeziana, Atherina, Atherina spp";"GFCM";NA;"ATB, AHH, ATP, ATQ, AZV, AVX";"163002000301, 163002000302, 163002000303, 163002000304, 163002000305";"No TAC";"GSAs 9, 10, 16, 19";"37_1_3,37_2_2";"";"";"Atherina boyeri,Atherina hepsetus,Atherina presbyter,Atherina breviceps,Atherina lopeziana,Atherina,Atherina spp";"37_1_3,37_2_2";"yes";"";"37.1.3,37.2.2"
"325";"Mediterranean and Black Sea";"Bogue";"Boops boops";"GFCM";NA;"BOG";"127047";"No TAC";"GSAs 1-27";"37_1_1,37_1_2,37_1_3,37_2_1,37_2_2,37_3_1,37_3_2";"";"";"Boops boops";"37_1_1,37_1_2,37_1_3,37_2_1,37_2_2,37_3_1,37_3_2";"yes";"";"37.1.1,37.1.2,37.1.3,37.2.1,37.2.2,37.3.1,37.3.2"
"326";"Mediterranean and Black Sea";"Blue crab";"Callinectes sapidus";"GFCM";NA;"CRB";"107379";"No TAC";"GSAs 8-10, 11.2, 12-16, 18-21";"37_1_3,37_2_2";"";"";"Callinectes sapidus";"37_1_3,37_2_2";"yes";"";"37.1.3,37.2.2"
"327";"Mediterranean and Black Sea";"Striped Venus clam";"Chamelea gallina";"GFCM";NA;"SVE";"141907";"No TAC";"GSAs 17-18";"37_2_1";"";"";"Chamelea gallina";"37_2_1";"yes";"";"37.2.1"
"328";"Mediterranean and Black Sea";"Sardinia coral";"Corallium rubrum";"GFCM";NA;"COL";"125416";"No TAC";"GSAs 1-27";"37_1_1,37_1_2,37_1_3,37_2_1,37_2_2,37_3_1,37_3_2";"";"";"Corallium rubrum";"37_1_1,37_1_2,37_1_3,37_2_1,37_2_2,37_3_1,37_3_2";"yes";"";"37.1.1,37.1.2,37.1.3,37.2.1,37.2.2,37.3.1,37.3.2"
"329";"Mediterranean and Black Sea";"Dolphinfish";"Coryphaena hippurus";"GFCM";NA;"DOL";"126846";"No TAC";"GSAs 12-27";"37_2_2,37_3_1,37_3_2";"";"";"Coryphaena hippurus";"37_2_2,37_3_1,37_3_2";"yes";"";"37.2.2,37.3.1,37.3.2"
"330";"Mediterranean and Black Sea";"Sea bass";"Dicentrarchus labrax";"GFCM";NA;"BSS";"126975";"No TAC";"GSAs 1-27";"37_1_1,37_1_2,37_1_3,37_2_1,37_2_2,37_3_1,37_3_2";"";"";"Dicentrarchus labrax";"37_1_1,37_1_2,37_1_3,37_2_1,37_2_2,37_3_1,37_3_2";"yes";"";"37.1.1,37.1.2,37.1.3,37.2.1,37.2.2,37.3.1,37.3.2"
"331";"Mediterranean and Black Sea";"Annular seabream";"Diplodus annularis";"GFCM";NA;"ANN";"127049";"No TAC";"GSAs 12-16, 19-21";"37_2_2";"";"";"Diplodus annularis";"37_2_2";"yes";"";"37.2.2"
"332";"Mediterranean and Black Sea";"Horned/curled octopus";"Eledone cirrhosa";"GFCM";NA;"EOI";"140600";"No TAC";"GSAs 1-23";"37_1_1,37_1_2,37_1_3,37_2_1,37_2_2,37_3_1";"";"";"Eledone cirrhosa";"37_1_1,37_1_2,37_1_3,37_2_1,37_2_2,37_3_1";"yes";"";"37.1.1,37.1.2,37.1.3,37.2.1,37.2.2,37.3.1"
"333";"Mediterranean and Black Sea";"Musky octopus";"Eledone moschata";"GFCM";NA;"EDT";"140601";"No TAC";"GSAs 8-23";"37_1_2,37_1_3,37_2_1,37_2_2,37_3_1";"";"";"Eledone moschata";"37_1_2,37_1_3,37_2_1,37_2_2,37_3_1";"yes";"";"37.1.2,37.1.3,37.2.1,37.2.2,37.3.1"
"334";"Mediterranean and Black Sea";"Anchovy";"Engraulis encrasicolus";"GFCM";NA;"ANE";"126426";"No TAC";"GSAs 1-29";"37_1_1,37_1_2,37_1_3,37_2_1,37_2_2,37_3_1,37_3_2,37_4_1,37_4_2";"";"";"Engraulis encrasicolus";"37_1_1,37_1_2,37_1_3,37_2_1,37_2_2,37_3_1,37_3_2,37_4_1,37_4_2";"yes";"";"37.1.1,37.1.2,37.1.3,37.2.1,37.2.2,37.3.1,37.3.2,37.4.1,37.4.2"
"335";"Mediterranean and Black Sea";"Grey gurnard";"Eutrigla gurnardus";"GFCM";NA;"GUG";"150637";"No TAC";"GSAs 13-16, 18-23";"37_2_2,37_3_1";"";"";"Eutrigla gurnardus";"37_2_2,37_3_1";"yes";"";"37.2.2,37.3.1"
"336";"Mediterranean and Black Sea";"Blackmouth catshark";"Galeus melastomus";"GFCM";NA;"SHO";"105812";"No TAC";"GSAs 1-11";"37_1_1";"";"";"Galeus melastomus";"37_1_1";"yes";"";"37.1.1"
"337";"Mediterranean and Black Sea";"Todarodes flying squids nei";"Todarodes sagittatus, Todarodes filippovae, Todarodes pacificus, Todarodes angolensis, Todarodes, Todarodes spp";"GFCM";NA;"SQE, TFP, SQJ, SQG, QSX";"321005005801, 321005005802, 321005005803, 321005005804";"No TAC";"GSAs 1-27";"37_1_1,37_1_2,37_1_3,37_2_1,37_2_2,37_3_1,37_3_2";"";"";"Todarodes sagittatus,Todarodes filippovae,Todarodes pacificus,Todarodes angolensis,Todarodes,Todarodes spp";"37_1_1,37_1_2,37_1_3,37_2_1,37_2_2,37_3_1,37_3_2";"yes";"";"37.1.1,37.1.2,37.1.3,37.2.1,37.2.2,37.3.1,37.3.2"
"338";"Mediterranean and Black Sea";"Shortfin squids ne";"Illex illecebrosus, Illex coindetii, Illex argentinus, Illex oxygonius, Illex, Illex spp";"GFCM";NA;"SQI, SQM, SQA, IXO, ILL";"321005001001, 321005001002, 321005001003, 321005001005";"No TAC";"GSAs 1-27";"37_1_1,37_1_2,37_1_3,37_2_1,37_2_2,37_3_1,37_3_2";"";"";"Illex illecebrosus,Illex coindetii,Illex argentinus,Illex oxygonius,Illex,Illex spp";"37_1_1,37_1_2,37_1_3,37_2_1,37_2_2,37_3_1,37_3_2";"yes";"";"37.1.1,37.1.2,37.1.3,37.2.1,37.2.2,37.3.1,37.3.2"
"339";"Mediterranean and Black Sea";"Silver-cheeked toadfish";"Lagocephalus sceleratus";"GFCM";NA;"LFZ";"219954";"No TAC";"GSAs 1-27";"37_1_1,37_1_2,37_1_3,37_2_1,37_2_2,37_3_1,37_3_2";"";"";"Lagocephalus sceleratus";"37_1_1,37_1_2,37_1_3,37_2_1,37_2_2,37_3_1,37_3_2";"yes";"";"37.1.1,37.1.2,37.1.3,37.2.1,37.2.2,37.3.1,37.3.2"
"340";"Mediterranean and Black Sea";"Common squid";"Loligo vulgaris";"GFCM";NA;"SQR";"140271";"No TAC";"GSAs 1-27";"37_1_1,37_1_2,37_1_3,37_2_1,37_2_2,37_3_1,37_3_2";"";"";"Loligo vulgaris";"37_1_1,37_1_2,37_1_3,37_2_1,37_2_2,37_3_1,37_3_2";"yes";"";"37.1.1,37.1.2,37.1.3,37.2.1,37.2.2,37.3.1,37.3.2"
"341";"Mediterranean and Black Sea";"Black-bellied angler";"Lophius budegassa";"GFCM";NA;"ANK";"126554";"No TAC";"GSAs 1-16, 19-23";"37_1_1,37_1_2,37_1_3,37_2_2";"";"";"Lophius budegassa";"37_1_1,37_1_2,37_1_3,37_2_2";"yes";"";"37.1.1,37.1.2,37.1.3,37.2.2"
"342";"Mediterranean and Black Sea";"Anglerfish";"Lophius piscatorius";"GFCM";NA;"MON";"126555";"No TAC";"GSAs 1-16, 18-23";"37_1_1,37_1_2,37_1_3,37_2_2";"";"";"Lophius piscatorius";"37_1_1,37_1_2,37_1_3,37_2_2";"yes";"";"37.1.1,37.1.2,37.1.3,37.2.2"
"343";"Mediterranean and Black Sea";"Whiting";"Merlangius merlangus";"GFCM";NA;"WHG";"126438";"No TAC";"GSAs 28-29";"37_4_1,37_4_2";"";"";"Merlangius merlangus";"37_4_1,37_4_2";"yes";"";"37.4.1,37.4.2"
"344";"Mediterranean and Black Sea";"Hake";"Merluccius merluccius";"GFCM";NA;"HKE";"126484";"No TAC";"GSAs 1-27";"37_1_1,37_1_2,37_1_3,37_2_1,37_2_2,37_3_1,37_3_2";"";"";"Merluccius merluccius";"37_1_1,37_1_2,37_1_3,37_2_1,37_2_2,37_3_1,37_3_2";"yes";"";"37.1.1,37.1.2,37.1.3,37.2.1,37.2.2,37.3.1,37.3.2"
"345";"Mediterranean and Black Sea";"Blue whiting";"Micromesistius poutassou";"GFCM";NA;"WHB";"126439";"No TAC";"GSAs 1-11, 22-23";"37_1_1,37_3_1";"";"";"Micromesistius poutassou";"37_1_1,37_3_1";"yes";"";"37.1.1,37.3.1"
"346";"Mediterranean and Black Sea";"Grey mullets";"Mugilidae";"GFCM";NA;"MGS";"125546";"No TAC";"GSAs 8-10, 11.2, 12-23";"37_1_3,37_2_1,37_2_2,37_3_1";"";"";"Mugilidae";"37_1_3,37_2_1,37_2_2,37_3_1";"yes";"";"37.1.3,37.2.1,37.2.2,37.3.1"
"347";"Mediterranean and Black Sea";"Red mullet";"Mullus barbatus";"GFCM";NA;"MUT";"126985";"No TAC";"GSAs 1-29";"37_1_1,37_1_2,37_1_3,37_2_1,37_2_2,37_3_1,37_3_2,37_4_1,37_4_2";"";"";"Mullus barbatus";"37_1_1,37_1_2,37_1_3,37_2_1,37_2_2,37_3_1,37_3_2,37_4_1,37_4_2";"yes";"";"37.1.1,37.1.2,37.1.3,37.2.1,37.2.2,37.3.1,37.3.2,37.4.1,37.4.2"
"348";"Mediterranean and Black Sea";"Striped red mullet";"Mullus surmuletus";"GFCM";NA;"MUR";"126986";"No TAC";"GSAs 1-16, 19-27";"37_1_1,37_1_2,37_1_3,37_2_1,37_2_2";"";"";"Mullus surmuletus";"37_1_1,37_1_2,37_1_3,37_2_1,37_2_2";"yes";"";"37.1.1,37.1.2,37.1.3,37.2.1,37.2.2"
"349";"Mediterranean and Black Sea";"Norway lobster";"Nephrops norvegicus";"GFCM";NA;"NEP";"107254";"No TAC";"GSAs 1-21";"37_1_1,37_1_2,37_1_3,37_2_1,37_2_2";"";"";"Nephrops norvegicus";"37_1_1,37_1_2,37_1_3,37_2_1,37_2_2";"yes";"";"37.1.1,37.1.2,37.1.3,37.2.1,37.2.2"
"350";"Mediterranean and Black Sea";"Common octopus";"Octopus vulgaris";"GFCM";NA;"OCC";"140605";"No TAC";"GSAs 1-27";"37_1_1,37_1_2,37_1_3,37_2_1,37_2_2,37_3_1,37_3_2";"";"";"Octopus vulgaris";"37_1_1,37_1_2,37_1_3,37_2_1,37_2_2,37_3_1,37_3_2";"yes";"";"37.1.1,37.1.2,37.1.3,37.2.1,37.2.2,37.3.1,37.3.2"
"351";"Mediterranean and Black Sea";"Blackspot seabream";"Pagellus bogaraveo";"GFCM";NA;"SBR";"127059";"No TAC";"GSAs 1-11";"37_1_1";"";"";"Pagellus bogaraveo";"37_1_1";"yes";"";"37.1.1"
"352";"Mediterranean and Black Sea";"Common pandora";"Pagellus erythrinus";"GFCM";NA;"PAC";"127060";"No TAC";"GSAs 1-27";"37_1_1,37_1_2,37_1_3,37_2_1,37_2_2,37_3_1,37_3_2";"";"";"Pagellus erythrinus";"37_1_1,37_1_2,37_1_3,37_2_1,37_2_2,37_3_1,37_3_2";"yes";"";"37.1.1,37.1.2,37.1.3,37.2.1,37.2.2,37.3.1,37.3.2"
"353";"Mediterranean and Black Sea";"Caramote prawn";"Penaeus kerathurus";"GFCM";NA;"TGS";"246388";"No TAC";"GSAs 22-23";"37_3_1";"";"";"Penaeus kerathurus";"37_3_1";"yes";"";"37.3.1"
"354";"Mediterranean and Black Sea";"Deepwater rose shrimp";"Parapenaeus longirostris";"GFCM";NA;"DPS";"107109";"No TAC";"GSAs 1-27";"37_1_1,37_1_2,37_1_3,37_2_1,37_2_2,37_3_1,37_3_2";"";"";"Parapenaeus longirostris";"37_1_1,37_1_2,37_1_3,37_2_1,37_2_2,37_3_1,37_3_2";"yes";"";"37.1.1,37.1.2,37.1.3,37.2.1,37.2.2,37.3.1,37.3.2"
"355";"Mediterranean and Black Sea";"Blue crab";"Portunus segnis";"GFCM";NA;"QSO";"1061760";"No TAC";"GSAs 8-10, 11.2, 12-16, 18-21";"37_1_3,37_2_2";"";"";"Portunus segnis";"37_1_3,37_2_2";"yes";"";"37.1.3,37.2.2"
"356";"Mediterranean and Black Sea";"Devil firefish";"Pterois miles";"GFCM";NA;"UHQ";"218077";"No TAC";"GSAs 1-27";"37_1_1,37_1_2,37_1_3,37_2_1,37_2_2,37_3_1,37_3_2";"";"";"Pterois miles";"37_1_1,37_1_2,37_1_3,37_2_1,37_2_2,37_3_1,37_3_2";"yes";"";"37.1.1,37.1.2,37.1.3,37.2.1,37.2.2,37.3.1,37.3.2"
